-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2022 through 12/31/2023 
Location: Latitude  60.0   Longitude 2.5 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 0.0 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN
2022,1,1,0,0.0
2022,1,1,1,0.0
2022,1,1,2,0.0
2022,1,1,3,0.0
2022,1,1,4,0.0
2022,1,1,5,0.0
2022,1,1,6,0.0
2022,1,1,7,0.0
2022,1,1,8,0.0
2022,1,1,9,8.7
2022,1,1,10,23.23
2022,1,1,11,21.56
2022,1,1,12,26.42
2022,1,1,13,14.25
2022,1,1,14,6.06
2022,1,1,15,0.0
2022,1,1,16,0.0
2022,1,1,17,0.0
2022,1,1,18,0.0
2022,1,1,19,0.0
2022,1,1,20,0.0
2022,1,1,21,0.0
2022,1,1,22,0.0
2022,1,1,23,0.0
2022,1,2,0,0.0
2022,1,2,1,0.0
2022,1,2,2,0.0
2022,1,2,3,0.0
2022,1,2,4,0.0
2022,1,2,5,0.0
2022,1,2,6,0.0
2022,1,2,7,0.0
2022,1,2,8,0.0
2022,1,2,9,11.22
2022,1,2,10,31.45
2022,1,2,11,38.52
2022,1,2,12,45.04
2022,1,2,13,29.41
2022,1,2,14,7.06
2022,1,2,15,0.0
2022,1,2,16,0.0
2022,1,2,17,0.0
2022,1,2,18,0.0
2022,1,2,19,0.0
2022,1,2,20,0.0
2022,1,2,21,0.0
2022,1,2,22,0.0
2022,1,2,23,0.0
2022,1,3,0,0.0
2022,1,3,1,0.0
2022,1,3,2,0.0
2022,1,3,3,0.0
2022,1,3,4,0.0
2022,1,3,5,0.0
2022,1,3,6,0.0
2022,1,3,7,0.0
2022,1,3,8,0.0
2022,1,3,9,11.29
2022,1,3,10,33.23
2022,1,3,11,47.72
2022,1,3,12,45.12
2022,1,3,13,31.59
2022,1,3,14,8.04
2022,1,3,15,0.0
2022,1,3,16,0.0
2022,1,3,17,0.0
2022,1,3,18,0.0
2022,1,3,19,0.0
2022,1,3,20,0.0
2022,1,3,21,0.0
2022,1,3,22,0.0
2022,1,3,23,0.0
2022,1,4,0,0.0
2022,1,4,1,0.0
2022,1,4,2,0.0
2022,1,4,3,0.0
2022,1,4,4,0.0
2022,1,4,5,0.0
2022,1,4,6,0.0
2022,1,4,7,0.0
